Method,Stock,MSE,RMSE,MAE,R2
LSTM,AAPL_Close,0.053955534919075294,0.2322833074482006,0.20593533967493893,-3.900396767227707
LSTM,MSFT_Close,0.12705886047132037,0.3564531672903474,0.33426431439853393,-7.324662063154676
LSTM,GOOGL_Close,0.06896678710535424,0.2626152834572928,0.23166174804067646,-3.5031536866614967
LSTM,TSLA_Close,0.10048424114060044,0.3169924938237504,0.2870056359728817,-4.548588783660468
LSTM,AMZN_Close,0.030730252579603053,0.17530046371759275,0.14464629661919987,-1.2016788873462043
LSTM,NVDA_Close,0.1322267960674031,0.3636300263556395,0.2671558962370168,-1.0559564209878007
LSTM,JPM_Close,0.014732431808640312,0.12137722936630375,0.10023877858499063,-0.032264917433913354
LSTM,V_Close,0.05994274126171176,0.2448320674701575,0.2265606259945896,-5.955988167810508
LSTM,XOM_Close,0.24775033377403533,0.49774524987591323,0.4828560182650614,-16.584288870646073
ARIMA,AAPL_Close,0.005347284478007943,0.07312512890934239,0.061535903534698407,-0.013107661277545146
ARIMA,MSFT_Close,0.007085337877518616,0.08417444907760677,0.07148667827380792,-0.2772053065273925
ARIMA,GOOGL_Close,0.0451953770119237,0.21259204362328263,0.19196164296942012,-3.0486757760358003
ARIMA,TSLA_Close,0.033249491312896645,0.18234443044112053,0.15692504459305773,-0.4588170885035552
